Unnamed: 0,title,genres,overview,release_date,runtime,tagline,poster_path
448,The Godfather,Drama-Crime,Spanning the years 1945 to 1955 a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch Vito Corleone barely survives an attempt on his life his youngest son Michael steps in to take care of the would-be killers launching a campaign of bloody revenge.,1972-03-14,175.0,An offer you can't refuse.,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg
509,The Shawshank Redemption,Drama-Crime,Framed in the 1940s for the double murder of his wife and her lover upstanding banker Andy Dufresne begins a new life at the Shawshank prison where he puts his accounting skills to work for an amoral warden. During his long stretch in prison Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.,1994-09-23,142.0,Fear can hold you prisoner. Hope can set you free.,/hBcY0fE9pfXzvVaY4GKarweriG2.jpg
1047,Schindler's List,Drama-History-War,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,1993-12-15,195.0,"Whoever saves one life, saves the world entire.",/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg
960,The Godfather Part II,Drama-Crime,In the continuing saga of the Corleone crime family a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s Michael Corleone attempts to expand the family business into Las Vegas Hollywood and Cuba.,1974-12-20,202.0,"I don't feel I have to wipe everybody out, Tom. Just my enemies.",/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg
465,The Dark Knight,Drama-Action-Crime-Thriller,Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.,2008-07-14,152.0,Welcome to a world without rules.,/qJ2tW6WMUDux911r6m7haRef0WH.jpg
706,The Green Mile,Fantasy-Drama-Crime,A supernatural tale set on death row in a Southern prison where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard Paul Edgecomb recognizes Coffey's miraculous gift he tries desperately to help stave off the condemned man's execution.,1999-12-10,189.0,Miracles do happen.,/velWPhVMQeQKcxggNEU8YmIo52R.jpg
1154,Pulp Fiction,Thriller-Crime,A burger-loving hit man his philosophical partner a drug-addled gangster's moll and a washed-up boxer converge in this sprawling comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.,1994-09-10,154.0,Just because you are a character doesn't mean you have character.,/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg
1025,Parasite,Comedy-Thriller-Drama,All unemployed Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.,2019-05-30,133.0,Act like you own the place.,/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg
935,Forrest Gump,Comedy-Drama-Romance,A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case far exceeding what anyone imagined he could do. But despite all he has achieved his one true love eludes him.,1994-06-23,142.0,The world will never be the same once you've seen it through the eyes of Forrest Gump.,/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg
670,The Lord of the Rings: The Return of the King,Adventure-Fantasy-Action,Aragorn is revealed as the heir to the ancient kings as he Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile Frodo and Sam take the ring closer to the heart of Mordor the dark lord's realm.,2003-12-01,201.0,The eye of the enemy is moving.,/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg
1726,GoodFellas,Drama-Crime,The true story of Henry Hill a half-Irish half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.,1990-09-12,145.0,Three Decades of Life in the Mafia.,/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg
1037,Life Is Beautiful,Comedy-Drama,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,1997-12-20,116.0,"An unforgettable fable that proves love, family and imagination conquer all.",/mfnkSeeVOBVheuyn2lo4tfmOPQb.jpg
683,Fight Club,Drama-Thriller-Comedy,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on with underground ""fight clubs"" forming in every town until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",1999-10-15,139.0,Mischief. Mayhem. Soap.,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg
434,Spider-Man: Into the Spider-Verse,Action-Adventure-Animation-Science Fiction,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider others from across the Spider-Verse are transported to this dimension.",2018-12-14,117.0,More than one wears the mask.,/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg
2474,The Empire Strikes Back,Adventure-Action-Science Fiction,The epic saga continues as Luke Skywalker in hopes of defeating the evil Galactic Empire learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile rebel leader Princess Leia cocky Han Solo Chewbacca and droids C-3PO and R2-D2 are thrown into various stages of capture betrayal and despair.,1980-05-20,124.0,The Adventure Continues...,/2l05cFWJacyIsTpsqSgH0wQXe4V.jpg
478,The Lord of the Rings: The Fellowship of the Ring,Adventure-Fantasy-Action,Young hobbit Frodo Baggins after inheriting a mysterious ring from his uncle Bilbo must leave his home in order to keep it from falling into the hands of its evil creator. Along the way a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom the only place where it can be destroyed.,2001-12-18,179.0,One ring to rule them all,/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg
283,Interstellar,Adventure-Drama-Science Fiction,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,2014-11-05,169.0,Mankind was born on Earth. It was never meant to die here.,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg
1195,The Lord of the Rings: The Two Towers,Adventure-Fantasy-Action,Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli Legolas and Aragorn search for the orc-captured Merry and Pippin. All along nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.,2002-12-18,179.0,A New Power Is Rising.,/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg
963,Whiplash,Drama-Music,Under the direction of a ruthless instructor a talented young drummer begins to pursue perfection at any cost even his humanity.,2014-10-10,107.0,The road to greatness can take you to the edge.,/7fn624j5lj3xTme2SgiLCeuedmO.jpg
