index,id,title,genres,overview,release_date,credits,poster_path
0,385687,Fast X,Action Crime Thriller,Over many missions and against impossible odds Dom Toretto and his family have outsmarted out-nerved and outdriven every foe in their path. Now they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge and who is determined to shatter this family and destroy everything—and everyone—that Dom loves forever.,2023-05-17,VinDiesel MichelleRodriguez TyreseGibson Ludacris JohnCena,/fiVW06jE7z9YnO4trhaMEdclSiC.jpg
1,758323,The Pope's Exorcist,Horror Mystery Thriller,Father Gabriele Amorth Chief Exorcist of the Vatican investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.,2023-04-05,RussellCrowe DanielZovatto AlexEssoe FrancoNero PeterDeSouza,/9JBEPLTPSm0d1mbEcLxULjJq9Eh.jpg
2,640146,Ant-Man and the Wasp: Quantumania,Action Adventure Science Fiction,Super-Hero partners Scott Lang and Hope van Dyne along with with Hope's parents Janet van Dyne and Hank Pym and Scott's daughter Cassie Lang find themselves exploring the Quantum Realm interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.,2023-02-15,PaulRudd EvangelineLilly JonathanMajors KathrynNewton MichellePfeiffer,/qnqGbB22YJ7dSs4o6M7exTpNxPz.jpg
3,677179,Creed III,Drama Action,After dominating the boxing world Adonis Creed has been thriving in both his career and family life. When a childhood friend and former boxing prodigy Damien Anderson resurfaces after serving a long sentence in prison he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score Adonis must put his future on the line to battle Damien — a fighter who has nothing to lose.,2023-03-01,MichaelB.Jordan TessaThompson JonathanMajors WoodHarris PhyliciaRashād,/cvsXj3I9Q2iyyIo95AecSd1tad7.jpg
4,502356,The Super Mario Bros. Movie,Animation Family Adventure Fantasy Comedy,While working underground to fix a water main Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated Mario embarks on an epic quest to find Luigi.,2023-04-05,ChrisPratt CharlieDay AnyaTaylor Joy JackBlack,/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg
5,631842,Knock at the Cabin,Horror Mystery Thriller,While vacationing at a remote cabin a young girl and her two fathers are taken hostage by four armed strangers who demand that the family make an unthinkable choice to avert the apocalypse. With limited access to the outside world the family must decide what they believe before all is lost.,2023-02-01,DaveBautista JonathanGroff BenAldridge KristenCui NikkiAmuka,/dm06L9pxDOL9jNSK4Cb6y139rrG.jpg
6,603692,John Wick: Chapter 4,Action Thriller Crime,With the price on his head ever increasing John Wick uncovers a path to defeating The High Table. But before he can earn his freedom Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.,2023-03-22,KeanuReeves DonnieYen BillSkarsgård IanMcShane LaurenceFishburne,/vZloFAK7NmvMGKE7VkF5UHaz0I.jpg
8,646389,Plane,Action Adventure Thriller,After a heroic job of successfully landing his storm-damaged aircraft in a war zone a fearless pilot finds himself between the agendas of multiple militias planning to take the plane and its passengers hostage.,2023-01-12,GerardButler MikeColter YosonAn TonyGoldwyn DaniellaPineda,/qi9r5xBgcc9KTxlOLjssEbDgO0J.jpg
9,569094,Spider-Man: Across the Spider-Verse,Action Adventure Animation Science Fiction,After reuniting with Gwen Stacy Brooklyn’s full-time friendly neighborhood Spider-Man is catapulted across the Multiverse where he encounters the Spider Society a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.,2023-05-31,ShameikMoore HaileeSteinfeld BrianTyreeHenry LunaLaurenVelez JakeJohnson,/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg
10,505642,Black Panther: Wakanda Forever,Action Adventure Science Fiction,Queen Ramonda Shuri M’Baku Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their next chapter the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.,2022-11-09,LetitiaWright LupitaNyong'o DanaiGurira WinstonDuke DominiqueThorne,/sv1xJUazXeYqALzczSZ3O6nkH75.jpg
